,book_title, rating,price,stock,book_link,img_link
21,How Music Works,Two,£37.32,"

    
        In stock
    
",https://books.toscrape.com/catalogue/how-music-works_979/index.html,https://books.toscrape.com/j
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,£30.52,"

    
        In stock
    
",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,https://books.toscrape.com/j
23,Chase Me (Paris Nights #2),Five,£25.27,"

    
        In stock
    
",https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,https://books.toscrape.com/j
24,Black Dust,Five,£34.53,"

    
        In stock
    
",https://books.toscrape.com/catalogue/black-dust_976/index.html,https://books.toscrape.com/j
25,Birdsong: A Story in Pictures,Three,£54.64,"

    
        In stock
    
",https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com/j
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,£22.50,"

    
        In stock
    
",https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com/j
27,Aladdin and His Wonderful Lamp,Three,£53.13,"

    
        In stock
    
",https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com/j
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Five,£40.30,"

    
        In stock
    
",https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com/j
29,Wall and Piece,Four,£44.18,"

    
        In stock
    
",https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,https://books.toscrape.com/j
30,The Four Agreements: A Practical Guide to Personal Freedom,Five,£17.66,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,https://books.toscrape.com/j
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,£31.05,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com/j
32,The Elephant Tree,Five,£23.82,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com/j
33,The Bear and the Piano,One,£36.89,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/j
34,Sophie's World,Five,£15.94,"

    
        In stock
    
",https://books.toscrape.com/catalogue/sophies-world_966/index.html,https://books.toscrape.com/j
35,Penny Maybe,Three,£33.29,"

    
        In stock
    
",https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com/j
36,Maude (1883-1993):She Grew Up with the country,Two,£18.02,"

    
        In stock
    
",https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com/j
37,"In a Dark, Dark Wood",One,£19.63,"

    
        In stock
    
",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/j
38,Behind Closed Doors,Four,£52.22,"

    
        In stock
    
",https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com/j
39,You can't bury them all: Poems,Two,£33.63,"

    
        In stock
    
",https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com/j
40,Slow States of Collapse: Poems,Three,£57.31,"

    
        In stock
    
",https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,https://books.toscrape.com/j
41,Reasons to Stay Alive,Two,£26.41,"

    
        In stock
    
",https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com/j
42,Private Paris (Private #10),Five,£47.61,"

    
        In stock
    
",https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com/j
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,£23.11,"

    
        In stock
    
",https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com/j
44,Without Borders (Wanderlove #1),Two,£45.07,"

    
        In stock
    
",https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,https://books.toscrape.com/j
45,When We Collided,One,£31.77,"

    
        In stock
    
",https://books.toscrape.com/catalogue/when-we-collided_955/index.html,https://books.toscrape.com/j
46,"We Love You, Charlie Freeman",Five,£50.27,"

    
        In stock
    
",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/j
47,Untitled Collection: Sabbath Poems 2014,Four,£14.27,"

    
        In stock
    
",https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,https://books.toscrape.com/j
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,£44.18,"

    
        In stock
    
",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,https://books.toscrape.com/j
49,Unicorn Tracks,Three,£18.78,"

    
        In stock
    
",https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,https://books.toscrape.com/j
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,£25.52,"

    
        In stock
    
",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,https://books.toscrape.com/j
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,£16.28,"

    
        In stock
    
",https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com/j
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,£31.12,"

    
        In stock
    
",https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,https://books.toscrape.com/j
53,This One Summer,Four,£19.49,"

    
        In stock
    
",https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com/j
54,Thirst,Five,£17.27,"

    
        In stock
    
",https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com/j
55,The Torch Is Passed: A Harding Family Story,One,£19.09,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,https://books.toscrape.com/j
56,The Secret of Dreadwillow Carse,One,£56.13,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,https://books.toscrape.com/j
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,£56.41,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,https://books.toscrape.com/j
58,The Past Never Ends,Four,£56.50,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/j
59,The Natural History of Us (The Fine Art of Pretending #2),Three,£45.22,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,https://books.toscrape.com/j
60,The Nameless City (The Nameless City #1),Four,£38.16,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com/j
61,The Murder That Never Was (Forensic Instincts #5),Three,£54.11,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com/j
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,£42.96,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,https://books.toscrape.com/j
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,£23.89,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,https://books.toscrape.com/j
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,£16.77,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,https://books.toscrape.com/j
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,£20.59,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,https://books.toscrape.com/j
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,£37.13,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,https://books.toscrape.com/j
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,One,£56.06,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,https://books.toscrape.com/j
68,The Death of Humanity: and the Case for Life,Four,£58.11,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com/j
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,£49.05,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,https://books.toscrape.com/j
70,The Art Forger,Three,£40.76,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-art-forger_930/index.html,https://books.toscrape.com/j
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,£19.73,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,https://books.toscrape.com/j
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,£32.24,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,https://books.toscrape.com/j
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,£41.83,"

    
        In stock
    
",https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,https://books.toscrape.com/j
74,Soul Reader,Two,£39.58,"

    
        In stock
    
",https://books.toscrape.com/catalogue/soul-reader_926/index.html,https://books.toscrape.com/j
75,Security,Two,£39.25,"

    
        In stock
    
",https://books.toscrape.com/catalogue/security_925/index.html,https://books.toscrape.com/j
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,£25.02,"

    
        In stock
    
",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,https://books.toscrape.com/j
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,£51.04,"

    
        In stock
    
",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,https://books.toscrape.com/j
78,Reskilling America: Learning to Labor in the Twenty-First Century,Two,£19.83,"

    
        In stock
    
",https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,https://books.toscrape.com/j
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,£50.40,"

    
        In stock
    
",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,https://books.toscrape.com/j
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,£13.61,"

    
        In stock
    
",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,https://books.toscrape.com/j
81,Princess Between Worlds (Wide-Awake Princess #5),Five,£13.34,"

    
        In stock
    
",https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,https://books.toscrape.com/j
82,"Pop Gun War, Volume 1: Gift",One,£18.97,"

    
        In stock
    
",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,https://books.toscrape.com/j
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,£36.28,"

    
        In stock
    
",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,https://books.toscrape.com/j
84,Patience,Three,£10.16,"

    
        In stock
    
",https://books.toscrape.com/catalogue/patience_916/index.html,https://books.toscrape.com/j
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,£15.44,"

    
        In stock
    
",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,https://books.toscrape.com/j
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,£48.41,"

    
        In stock
    
",https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,https://books.toscrape.com/j
87,Online Marketing for Busy Authors: A Step-By-Step Guide,One,£46.35,"

    
        In stock
    
",https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,https://books.toscrape.com/j
88,On a Midnight Clear,Three,£14.07,"

    
        In stock
    
",https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,https://books.toscrape.com/j
89,Obsidian (Lux #1),Two,£14.86,"

    
        In stock
    
",https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,https://books.toscrape.com/j
90,My Paris Kitchen: Recipes and Stories,Two,£33.37,"

    
        In stock
    
",https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,https://books.toscrape.com/j
91,Masks and Shadows,Two,£56.40,"

    
        In stock
    
",https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,https://books.toscrape.com/j
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,£14.02,"

    
        In stock
    
",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,https://books.toscrape.com/j
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,£46.91,"

    
        In stock
    
",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,https://books.toscrape.com/j
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,£45.61,"

    
        In stock
    
",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,https://books.toscrape.com/j
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,£19.92,"

    
        In stock
    
",https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,https://books.toscrape.com/j
96,"Layered: Baking, Building, and Styling Spectacular Cakes",One,£40.11,"

    
        In stock
    
",https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,https://books.toscrape.com/j
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,£53.90,"

    
        In stock
    
",https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,https://books.toscrape.com/j
98,Join,Five,£35.67,"

    
        In stock
    
",https://books.toscrape.com/catalogue/join_902/index.html,https://books.toscrape.com/j
99,In the Country We Love: My Family Divided,Four,£22.00,"

    
        In stock
    
",https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,https://books.toscrape.com/j
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,£57.36,"

    
        In stock
    
",https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,https://books.toscrape.com/j
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,£29.17,"

    
        In stock
    
",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,https://books.toscrape.com/j
102,I am a Hero Omnibus Volume 1,Three,£54.63,"

    
        In stock
    
",https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,https://books.toscrape.com/j
103,How to Be Miserable: 40 Strategies You Already Use,One,£46.03,"

    
        In stock
    
",https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,https://books.toscrape.com/j
104,Her Backup Boyfriend (The Sorensen Family #1),One,£33.97,"

    
        In stock
    
",https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,https://books.toscrape.com/j
105,"Giant Days, Vol. 2 (Giant Days #5-8)",Two,£22.11,"

    
        In stock
    
",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,https://books.toscrape.com/j
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,£29.69,"

    
        In stock
    
",https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,https://books.toscrape.com/j
107,First and First (Five Boroughs #3),Four,£15.97,"

    
        In stock
    
",https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,https://books.toscrape.com/j
108,Fifty Shades Darker (Fifty Shades #2),One,£21.96,"

    
        In stock
    
",https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,https://books.toscrape.com/j
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,£54.35,"

    
        In stock
    
",https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,https://books.toscrape.com/j
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,£37.97,"

    
        In stock
    
",https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,https://books.toscrape.com/j
111,Danganronpa Volume 1,Four,£51.99,"

    
        In stock
    
",https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,https://books.toscrape.com/j
112,Crown of Midnight (Throne of Glass #2),Three,£43.29,"

    
        In stock
    
",https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,https://books.toscrape.com/j
113,"Codename Baboushka, Volume 1: The Conclave of Death",Four,£36.72,"

    
        In stock
    
",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,https://books.toscrape.com/j
114,Camp Midnight,Four,£17.08,"

    
        In stock
    
",https://books.toscrape.com/catalogue/camp-midnight_886/index.html,https://books.toscrape.com/j
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,£29.14,"

    
        In stock
    
",https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,https://books.toscrape.com/j
116,Burning,Three,£28.81,"

    
        In stock
    
",https://books.toscrape.com/catalogue/burning_884/index.html,https://books.toscrape.com/j
117,Bossypants,Two,£49.46,"

    
        In stock
    
",https://books.toscrape.com/catalogue/bossypants_883/index.html,https://books.toscrape.com/j
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,£37.92,"

    
        In stock
    
",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,https://books.toscrape.com/j
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,£28.09,"

    
        In stock
    
",https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,https://books.toscrape.com/j
120,Algorithms to Live By: The Computer Science of Human Decisions,One,£30.81,"

    
        In stock
    
",https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,https://books.toscrape.com/j
121,A World of Flavor: Your Gluten Free Passport,One,£42.95,"

    
        In stock
    
",https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,https://books.toscrape.com/j
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,£56.76,"

    
        In stock
    
",https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,https://books.toscrape.com/j
123,A Murder in Time,One,£16.64,"

    
        In stock
    
",https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,https://books.toscrape.com/j
124,A Flight of Arrows (The Pathfinders #2),Five,£55.53,"

    
        In stock
    
",https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,https://books.toscrape.com/j
125,A Fierce and Subtle Poison,Four,£28.13,"

    
        In stock
    
",https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,https://books.toscrape.com/j
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,£52.37,"

    
        In stock
    
",https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,https://books.toscrape.com/j
127,(Un)Qualified: How God Uses Broken People to Do Big Things,Five,£54.00,"

    
        In stock
    
",https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,https://books.toscrape.com/j
128,You Are What You Love: The Spiritual Power of Habit,Four,£21.87,"

    
        In stock
    
",https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,https://books.toscrape.com/j
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Four,£43.30,"

    
        In stock
    
",https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,https://books.toscrape.com/j
130,Tuesday Nights in 1980,Two,£21.04,"

    
        In stock
    
",https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,https://books.toscrape.com/j
131,Tracing Numbers on a Train,Three,£41.60,"

    
        In stock
    
",https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,https://books.toscrape.com/j
132,Throne of Glass (Throne of Glass #1),Three,£35.07,"

    
        In stock
    
",https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,https://books.toscrape.com/j
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,One,£59.64,"

    
        In stock
    
",https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,https://books.toscrape.com/j
134,Thirteen Reasons Why,One,£52.72,"

    
        In stock
    
",https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,https://books.toscrape.com/j
135,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Four,£58.08,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,https://books.toscrape.com/j
